,0,1
32,2020-04-28 00:37:18+00:00,"UK North Sea fields fear loss of 30,000 jobs https://www.ft.com/content/d9ae865b-fe55-4727-a935-589c0fe27976?desktop=true&amp;segmentId=d8d3e364-5197-20eb-17cf-2437841d178a via @financialtimes"
33,2020-04-28 00:30:32+00:00,"UK North Sea fields fear loss of 30,000 jobs http://dlvr.it/RVZXcm"
34,2020-04-28 00:15:17+00:00,This is his attempt at keeping his job. The loss of funds due to the issues of early advice been horrifically wrong. This last gasp shot to save his job will fail. I think he retires goldenly by end of year.
35,2020-04-28 00:09:32+00:00,"UK North Sea fields fear loss of 30,000 jobs http://dlvr.it/RVZVfx"
36,2020-04-28 00:08:48+00:00,"UK North Sea fields fear loss of 30,000 jobs https://www.ft.com/content/d9ae865b-fe55-4727-a935-589c0fe27976"
37,2020-04-28 00:05:37+00:00,"#UK North Sea fields fear loss of 30,000 jobs now trending on Monkey Viral - https://monkeyviral.com/uk-north-sea-fields-fear-loss-of-30000-jobs/"
38,2020-04-27 23:12:09+00:00,"Capital investment to fall to as little as £3.5bn, the lowest level in real terms since 2000. UK North Sea fields fear loss of 30,000 jobs https://www.ft.com/content/d9ae865b-fe55-4727-a935-589c0fe27976?desktop=true&amp;segmentId=d8d3e364-5197-20eb-17cf-2437841d178a via @financialtimes #OOTT"
39,2020-04-27 23:04:00+00:00,"UK North Sea fields fear loss of 30,000 jobs https://on.ft.com/2YcUwHN"
40,2020-04-27 23:02:57+00:00,"UK North Sea fields fear loss of 30,000 jobs "
41,2020-04-27 23:02:41+00:00,"UK North Sea fields fear loss of 30,000 jobs https://on.ft.com/2YcUwHN"
42,2020-04-27 23:02:41+00:00,"UK North Sea fields fear loss of 30,000 jobs https://on.ft.com/2Y7k1KR"
43,2020-04-27 23:02:41+00:00,"UK North Sea fields fear loss of 30,000 jobs https://on.ft.com/2xdJW8B"
44,2020-04-27 22:46:10+00:00,#COVID19 If the UK Government had acted to protect people and not profit by shutting down our borders and implementing tests at airports docks and trains this would have saved lives and saved jobs. So why did they go with herd immunity that would result in massive loss of life.
45,2020-04-27 21:33:08+00:00,Interesting report “In US & UK women &amp; workers without a college degree are significantly more likely to already have lost their jobs...younger fall in http://earnings.In Germany neither gender nor a university degree predict job loss significantly.” @INOUIreland @NWCI
46,2020-04-27 19:59:49+00:00,We are also at a loss @BorisJohnson @MattHancock as to why Sahota is earning £200000 per year . He and Spittle obviously have no idea about how procurement works . It’s time to stop wasting so much money on unnecessary management roles in the NHS and providing jobs for the boys .
47,2020-04-27 18:30:55+00:00,"Inability to work or threat of job loss due to impact is one of the biggest ways mental health can impact you and you family - this is not a surprise that they focus on it, same in the UK."
48,2020-04-27 17:47:41+00:00,All ours in UK are sitting empty. See pic. Estimates lockdown is costing £4billion per day in lost economy. Not calculated health and wellbeing costs for those stressed and suicidal at job loss etc Trillions wasted across the continents to open a market for a global vaccine. Why? 
49,2020-04-27 17:03:34+00:00,"Because you lot were so right about. 1. Getting a second referendum 2. Stopping brexit Then your predictions of job losses and loss of trade. We had record employment and exports So, excuse us, if we have no faith in your future predictions."
50,2020-04-27 16:56:14+00:00,"As Gundlach notes, with a traumatised society, and the loss of &gt;25M jobs, a great deal of structural damage has been done to the US economy. Even Boeing $BA is now touting the recovery will take 2-3 years."
51,2020-04-27 16:19:55+00:00,"If we don't support companies in the UK economy we will come out of this with a huge and permanent loss of jobs, supplies and taxes to other economies who do support their industries."
52,2020-04-27 15:35:24+00:00,"Real time survey data from US, UK and Germany: Large differences in job loss due to #COVID19. Employees in Germany much less likely to be affected by the crisis. ""Within countries, the impacts are highly unequal and exacerbate existing inequalities."" https://www.iza.org/en/publications/dp/13183/inequality-in-the-impact-of-the-coronavirus-shock-evidence-from-real-time-surveys"
53,2020-04-27 15:07:03+00:00,"Senior Loss Adjuster (A-FCILA), Birmingham: Our small / niche Loss Adjusting client is looking for a Senior Loss Adjuster (A-FCILA) to work from home and operate throughout the West Midlands (Birmingham, Coventry,… http://dlvr.it/RVY1bb For More Jobs &gt;&gt;&gt; Please Go2 Our Page!"
54,2020-04-27 14:33:44+00:00,"UK' exit was not a huge loss at all. The EU is still strong, it still represents a huge market and EU citizens are able to move around the EU easily and get jobs and foster closer cultural ties. In doing a cost-benefit analysis, more is gained in regional integration."
55,2020-04-27 09:28:44+00:00,"The maximum risk is the 50,000 cancer patients doomed to die, 2,000,000 cancelled operations, inadequate PPE, lack of testing, 6,500,000 facing job loss, millions of companies going bust, collapse of the economy"
