,0,1
0,2016-12-14 09:40:36+00:00,But will they ensure ethical standards not lost such as the decline of Cadbury under Mondelez (Kraft) #nofairtrade #uktaxevasion #ukjobcuts 
1,2016-10-11 18:50:18+00:00,"Japanese IT giant #Fujitsu plans 1,800 UK job cuts http://goo.gl/fb/CAuyky #scitech #japneseitgiant #ukjobcuts"
2,2014-07-26 19:49:46+00:00,What a confusion it's all an illusion #worldeconomics #globalpovertytrap2014 #austeritycuts #recessionrecovery #ukjobcuts #ConDems 
3,2013-11-13 09:58:36+00:00,"Flybe make ""tough decision"" to cut a further 500 jobs http://www.emptylemon.co.uk/439/News/flybe-make-tough-decision-to-cut-a-further-500-jobs #Flybe #UKjobcuts #UKunemployment #news"
4,2013-06-26 21:06:34+00:00,"NEWS Day2Day: UK: Spending Review: 144,000 government workers to lose their jobs by 2015/16 http://newsday2day.blogspot.com/2013/06/uk-spending-review-144000-government.html#.UctXvTdOWvg.twitter #ukjobcuts"
5,2013-02-24 10:33:40+00:00,@shou3n that is true. That whole are you in or out gang mentality is institutional in the workplace.It will only get worse #ukjobcuts
6,2011-01-31 11:50:32+00:00,"The UK job cuts which could cost lives (blog post) http://ow.ly/3Na5p #ukjobs #ukjobcuts Threats to lifeboats, policing and nursing"
7,2010-10-20 16:53:14+00:00,testing time for us all in UK #UKjobcuts who loses? can private sector create 500k jobs?
