,0,1
33,2020-04-29 06:49:00+00:00,"Wednesday briefing: Contain virus before reopening, says public Can dealers offer click-and-collect? Ford to restart factories BA plans 12,000 job cuts 1-in-7 take mortgage holiday Online sales rocket True UK death toll to be revealed And more: "
34,2020-04-29 06:33:41+00:00,"Should UK taxpayers bail out the UK airline industry? British Airways plans to cut up to 12,000 jobs, saying international travel won't get back to normal levels for several years. Should more be done to save firms like BA, or would you be happy to see us all flying less? "
35,2020-04-29 05:33:32+00:00,HSBC puts job cuts on hold https://www.finextra.com/newsarticle/35711/hsbc-puts-job-cuts-on-hold via @Finextra #fs
36,2020-04-29 05:00:17+00:00,"2020 #UK #Jobs statistics: 29-04-2020 collated by @michael75lewis: Jobs &amp; apprenticeships cut / at risk 9,745,460 Temporary / permanent jobs planned or created 297,880 Jobs to be furloughed / saved / with reduced hours 7,004,750 Working from home due to #Covid19 15,876,000"
37,2020-04-29 04:41:19+00:00,A ruse by a fat cat chairman that doesn’t even reside in the uk sat in his villa on lake Zurich Taking advantage of the pandemic to pave the way for future job cuts absolutely disgusting attack on workers with no choice but to risk their lives working through this crisis 
38,2020-04-29 00:24:19+00:00,Old enough to remember all those POC jobs cut when Buzzfeed’s pivot to video flopped.
39,2020-04-29 00:13:18+00:00,"British Airways to cut up to 12,000 jobs as air travel collapses https://www.bbc.com/news/business-52462660 - awful for those who will be affected. Also, an ominous signposting of the challenges ahead for the recovery of the whole Travel &amp; Tourism Industry in the UK&amp;I post #COVID19"
40,2020-04-29 00:05:15+00:00,"#UK flag carrier @British_Airways is planning to cut 800 pilot jobs. The airline currently has 4500 pilots in active duty. The carrier said earlier this month it had struck a deal with its unions to suspend more than 30,000 cabin crew and ground staff. https://bit.ly/2KJfnLe"
41,2020-04-28 23:39:46+00:00,"British Airways says it could cut 12,000 jobs as global travel slumps https://uktopnews.com/article/id/aba3c61b83c2f3b3241ce2b5019d823e"
42,2020-04-28 23:10:07+00:00,UK small firms use furlough scheme to avoid permanent job cuts: BCC - 
43,2020-04-28 23:00:01+00:00,Details of UK Entrepreneurial Support; Job Retention Cut Date Moved | Instant News 
